"nom","taille","age","points","reb","pd","d","v_d","min","2p_av","3p_av","fg_av","ft_av","ro","rebb","pdd","inn","bp","ct","fa","ptss","eva","ptsss","rebbb","ast","stl","blk","equipe"
Matthias Flosse,"2m10",25,13.7,8.7,1.0,3,"2-1",23.7,"63.2%","60%","62.5%","66.7%",3.7,8.7,1.0,0.3,1.7,1.0,3.0,13.7,18.7,20.0,10.0,1.0,1.0,2.0,andrezieux-boutheon
Pape Diop,"2m04",27,13.5,6.4,1.5,15,"10-5",26.9,"58.1%","18.5%","51%","71.7%",1.8,6.4,1.5,1.5,2.1,0.9,2.5,13.5,15.6,25.0,10.0,3.0,5.0,2.0,andrezieux-boutheon
Jaraun Burrows,"2m03",38,11.8,3.8,1.8,9,"4-5",24.4,"59.3%","75%","60.3%","67.5%",1.3,3.8,1.8,0.3,1.8,0.3,1.8,11.8,12.0,22.0,5.0,3.0,1.0,1.0,andrezieux-boutheon
Moustapha Diarra,"2m05",36,11.0,4.7,0.7,21,"14-7",23.7,"55%","66.7%","55.2%","66.7%",1.9,4.7,0.7,0.6,2.5,0.7,2.3,11.0,10.6,23.0,8.0,2.0,3.0,3.0,andrezieux-boutheon
Rosaire Malonga,"1m88",28,10.8,2.6,5.1,22,"14-8",28.1,"49.3%","34.5%","39.8%","70.6%",0.2,2.6,5.1,1.3,2.8,0.1,2.0,10.8,11.1,25.0,5.0,8.0,3.0,1.0,andrezieux-boutheon
Louis Weber,"1m86",25,10.1,2.8,4.6,22,"14-8",25.5,"35.5%","31.6%","33.9%","75.5%",0.3,2.8,4.6,1.0,2.3,0.0,2.4,10.1,9.5,18.0,7.0,8.0,3.0,1.0,andrezieux-boutheon
Mohamed Sidibe,"2m05",21,9.9,6.8,1.4,22,"14-8",22.5,"50.8%","0%","49.2%","67.4%",2.4,6.8,1.4,1.0,1.5,0.7,3.1,9.9,13.1,18.0,13.0,3.0,3.0,3.0,andrezieux-boutheon
Adrien Thimon,"1m99",29,8.8,2.6,1.8,15,"9-6",21.3,"46.9%","39.3%","42.7%","63.6%",1.0,2.6,1.8,0.9,1.7,0.3,1.5,8.8,8.0,30.0,5.0,5.0,3.0,2.0,andrezieux-boutheon
Hugo Cucherat,"1m93",21,8.4,1.5,1.0,15,"9-6",23.9,"36.8%","47.3%","45.2%","70%",0.3,1.5,1.0,0.7,0.5,0.0,1.5,8.4,7.6,18.0,5.0,3.0,3.0,0.0,andrezieux-boutheon
Theo Bouteille,"1m92",26,7.3,3.0,2.3,4,"3-1",20.8,"37.5%","55.6%","44%","50%",0.8,3.0,2.3,0.5,0.5,0.3,1.3,7.3,8.8,12.0,4.0,4.0,1.0,1.0,andrezieux-boutheon
Tom Hyenne,"1m94",23,5.0,2.7,0.9,20,"12-8",16.1,"37.1%","31.8%","35.9%","56.3%",0.7,2.7,0.9,0.5,1.0,0.1,1.8,5.0,4.2,12.0,7.0,4.0,2.0,1.0,andrezieux-boutheon
Ludovic Dufeal,"2m02",24,4.3,3.7,0.6,21,"14-7",17.1,"58.7%","31.8%","50%","78.9%",1.5,3.7,0.6,1.0,0.6,0.7,1.8,4.3,7.9,12.0,10.0,4.0,4.0,2.0,andrezieux-boutheon
Alexis Ville,-,,2.2,2.7,0.8,10,"7-3",14.9,"42.9%","8.3%","26.9%","63.6%",0.7,2.7,0.8,0.8,0.9,0.0,1.0,2.2,3.3,6.0,5.0,3.0,2.0,0.0,andrezieux-boutheon
Kevin Lavieille,"1m98",27,2.0,2.0,1.5,2,"2-0",17.5,"20%","0%","16.7%","50%",0.5,2.0,1.5,1.5,0.5,0.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,andrezieux-boutheon
Luca Sanchez,"1m80",17,0.4,0.0,0.0,5,"5-0",1.4,"100%","0%","33.3%",-,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,0.4,2.0,0.0,0.0,2.0,0.0,andrezieux-boutheon
Valentin Troadec,-,,0.0,0.0,0.0,1,"1-0",1.0,-,"0%","0%",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,andrezieux-boutheon
Dominick Bridgewater,"1m78",23,14.2,1.9,4.8,22,"12-10",25.0,"56.2%","37.8%","48.2%","74.3%",0.5,1.9,4.8,1.9,3.0,0.1,2.5,14.2,13.7,25.0,5.0,10.0,6.0,1.0,avignon-le-pontet
Nemanja Kovanusic,"2m05",30,14.1,8.0,1.5,22,"12-10",26.1,"65.6%","37.9%","57.5%","55.3%",2.6,8.0,1.5,0.5,1.7,0.3,2.4,14.1,17.3,37.0,14.0,6.0,2.0,2.0,avignon-le-pontet
Tyson Jolly,"1m92",26,12.6,2.8,1.4,13,"8-5",23.0,"54%","39.4%","46.5%","56.3%",0.5,2.8,1.4,1.2,1.7,0.5,2.5,12.6,10.4,23.0,9.0,4.0,3.0,2.0,avignon-le-pontet
Nico Clareth,"1m96",26,10.7,3.4,2.3,7,"3-4",21.7,"43.8%","29.3%","35.6%","73.3%",0.1,3.4,2.3,1.1,1.6,0.4,2.9,10.7,9.1,16.0,8.0,5.0,3.0,1.0,avignon-le-pontet
Geoffrey Bourcier,"1m83",35,10.5,2.7,3.0,22,"12-10",23.2,"42.7%","39.6%","41.2%","82.4%",0.4,2.7,3.0,1.7,1.5,0.0,2.2,10.5,11.1,27.0,4.0,8.0,5.0,1.0,avignon-le-pontet
Steven Cayol,"1m80",25,10.1,5.3,2.4,22,"12-10",26.5,"64.1%","33.3%","61.4%","70.1%",2.2,5.3,2.4,1.6,1.9,0.6,2.8,10.1,14.8,22.0,11.0,8.0,3.0,3.0,avignon-le-pontet
Sullivan Hernandez,"2m04",28,7.7,3.6,2.2,21,"11-10",23.1,"57.7%","26.7%","50.4%","64.1%",1.1,3.6,2.2,1.6,2.1,0.7,2.6,7.7,10.0,20.0,8.0,5.0,5.0,3.0,avignon-le-pontet
Tristan Pothion,"2m00",31,6.3,3.0,1.0,20,"11-9",23.8,"61.8%","34.4%","44.2%","67.7%",0.4,3.0,1.0,0.5,1.6,0.2,1.7,6.3,6.2,14.0,8.0,3.0,2.0,2.0,avignon-le-pontet
Austin Rasolonjatovo,"1m86",22,6.2,2.2,3.1,22,"12-10",19.0,"49.1%","31.3%","40.8%","84.4%",0.4,2.2,3.1,1.0,1.7,0.0,1.3,6.2,7.9,15.0,6.0,9.0,4.0,1.0,avignon-le-pontet
Matthieu Vigneron,"2m01",21,4.3,2.4,0.3,10,"6-4",14.6,"48.4%","25%","43.6%","70%",1.0,2.4,0.3,0.4,1.5,0.0,1.8,4.3,3.4,10.0,7.0,2.0,1.0,0.0,avignon-le-pontet
Guy-Marc Michel,"2m10",35,2.1,2.7,0.5,19,"11-8",11.7,"41.4%","0%","35.3%","69.6%",0.8,2.7,0.5,0.1,0.6,0.4,1.5,2.1,3.6,8.0,6.0,2.0,1.0,2.0,avignon-le-pontet
Lazare Timothée M'Bala Mtsama,"1m92",18,2.0,2.0,0.0,1,"1-0",5.0,"50%",-,"50%",-,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,avignon-le-pontet
Teo Dongo-Lapietra,"1m85",20,1.5,0.0,1.0,2,"1-1",3.5,-,"50%","50%",-,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5,2.0,3.0,0.0,2.0,0.0,0.0,avignon-le-pontet
Duane Morgan,"1m98",30,17.2,5.4,2.2,19,"5-14",31.7,"52.8%","31.2%","44.6%","77.4%",0.8,5.4,2.2,1.5,2.6,0.6,1.8,17.2,16.3,29.0,13.0,4.0,4.0,3.0,berck-rang-du-fliers
Guillaume Valayer,"2m01",27,9.8,6.0,2.6,21,"7-14",27.6,"53.1%","38.8%","47.2%","63.4%",1.4,6.0,2.6,0.5,1.9,0.2,1.9,9.8,12.3,20.0,10.0,5.0,2.0,1.0,berck-rang-du-fliers
Ibrahim Saounera,"1m79",36,9.2,2.8,3.5,22,"7-15",27.8,"50%","27.5%","40.3%","82.1%",0.5,2.8,3.5,0.8,2.0,0.0,2.2,9.2,9.3,23.0,7.0,6.0,3.0,0.0,berck-rang-du-fliers
Adrien Henocq,"1m94",27,9.0,2.4,3.2,13,"6-7",22.9,"50%","39.5%","41.5%","69.2%",0.2,2.4,3.2,1.5,1.2,0.1,1.7,9.0,10.4,20.0,6.0,7.0,4.0,1.0,berck-rang-du-fliers
Kayode Ajenifuja,"1m95",29,8.8,2.8,1.0,22,"7-15",24.9,"45.5%","35.7%","40%","90%",0.7,2.8,1.0,1.1,1.3,0.2,2.2,8.8,7.8,22.0,6.0,4.0,5.0,1.0,berck-rang-du-fliers
Clement Morel,"1m95",23,8.7,2.9,1.0,16,"6-10",19.7,"65.3%","17.9%","52%","69.8%",0.9,2.9,1.0,0.9,1.6,0.4,1.5,8.7,8.4,16.0,7.0,2.0,3.0,2.0,berck-rang-du-fliers
Ladji Meite,"2m02",23,6.8,4.8,1.1,19,"6-13",18.3,"65.5%",-,"65.5%","37.2%",2.2,4.8,1.1,0.5,1.4,0.3,3.4,6.8,9.2,16.0,10.0,3.0,2.0,2.0,berck-rang-du-fliers
Luidgy Laporal,"2m03",28,5.9,4.0,0.6,7,"3-4",16.9,"61.3%",-,"61.3%","37.5%",1.3,4.0,0.6,0.6,1.4,0.1,2.3,5.9,7.3,10.0,6.0,3.0,3.0,1.0,berck-rang-du-fliers
Elias Kherzane,"1m80",24,5.7,2.8,2.8,16,"6-10",19.2,"35%","23.5%","29.7%","73.6%",0.7,2.8,2.8,1.1,1.6,0.0,2.8,5.7,6.6,14.0,6.0,6.0,4.0,0.0,berck-rang-du-fliers
Alexis Desespringalle,"1m93",32,5.3,2.7,1.4,19,"6-13",17.8,"30.6%","38%","34.3%","76.5%",0.6,2.7,1.4,0.5,1.5,0.1,1.8,5.3,4.7,14.0,9.0,6.0,2.0,1.0,berck-rang-du-fliers
Alexandre Mendy,"1m90",33,4.3,2.8,1.2,6,"1-5",19.8,"46.7%","14.3%","31%","50%",0.7,2.8,1.2,0.7,3.5,0.0,1.5,4.3,1.2,8.0,5.0,2.0,1.0,0.0,berck-rang-du-fliers
